IfcGUID,マーク,機能,ファミリ,タイプ,全幅,全高,厚さ,タイプ IfcGUID
06a0G7HzTBp92$nYjnYGE9,414,,T3 点検口,SD207 1800x2100,1800,2100,,0KSyDvhG51CuZCc0p5YoPM
06a0G7HzTBp92$nYjnYGE8,415,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYGEB,416,,T1 点検口,SD3208 600x2100,600,2100,,23AfZwwbX7vhDUj8cjv0Ee
06a0G7HzTBp92$nYjnYG_Y,417,,T1 点検口,SD210 400x1500,400,1500,,2XGf_nwCTELwFUTgSNjcY9
06a0G7HzTBp92$nYjnYG_i,418,内部,A1 片開 フラッシュ_A2枠,SD205 900x2100,900,2100,,2G5qpNmHbFDwkkJvVJHDdD
06a0G7HzTBp92$nYjnYG_l,419,,T1 点検口,SD209 450x450 MWC点検口,450,450,,2XGf_nwCTELwFUTgSNjcY7
06a0G7HzTBp92$nYjnYGvP,420,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
06a0G7HzTBp92$nYjnYGvO,421,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
06a0G7HzTBp92$nYjnYGvR,422,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
06a0G7HzTBp92$nYjnYGvQ,423,内部,A1 片開 フラッシュ_A2枠,SD204 900x2100 階段室,900,2100,,2Xyaxc0EL0qP6yvd4PiyYQ
06a0G7HzTBp92$nYjnYGvZ,428,,T1 点検口,SD211 400x2100 消火栓点検口,400,2100,,2XGf_nwCTELwFUTgSNjcY3
06a0G7HzTBp92$nYjnYGu1,429,,T8 点検口,SD206 4800x2100,4800,2100,,0KSyDvhG51CuZCc0p5YyWt
06a0G7HzTBp92$nYjnYGu0,430,,T3 点検口,SD207 1800x2100,1800,2100,,0KSyDvhG51CuZCc0p5YoPM
06a0G7HzTBp92$nYjnYGu3,431,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYGu2,432,,T1 点検口,SD3208 600x2100,600,2100,,23AfZwwbX7vhDUj8cjv0Ee
3c5T7inXj9yh9z0x5bXqgn,339,内部,C1 親子 フラッシュ_A2枠1,SD101 1200x2100 時間外出口,1200,2100,,3hH$5rBbDBEAyZVIBHtUBQ
3c5T7inXj9yh9z0x5bXqef,340,内部,C1 親子 フラッシュ_A2枠1,SD101 1200x2100 時間外出口,1200,2100,,3hH$5rBbDBEAyZVIBHtUBQ
1Ch8kw4TPE8Av6g1ZzdA1b,341,内部,片引き_自動ドア_ガラス四方框,w1800h2000,,,30,1Ch8kw4TPE8Av6g1ZzdAs7
