IfcGUID,レベル,部屋: 名前,ファミリ,タイプ,タイプ IfcGUID
1U92fYA5DAiwNsVKbgeOFv,2FL,会議室1,テーブル オフィス A,w1800xd900xh760,3MZiahnpvCQPXjA9uulMmL
1U92fYA5DAiwNsVKbgeO8R,2FL,会議室1,テーブル オフィス A,w1800xd900xh760,3MZiahnpvCQPXjA9uulMmL
1U92fYA5DAiwNsVKbgeO4X,2FL,会議室1,テーブル オフィス A,w1800xd900xh760,3MZiahnpvCQPXjA9uulMmL
1U92fYA5DAiwNsVKbgeO68,2FL,会議室1,テーブル オフィス A,w1800xd900xh760,3MZiahnpvCQPXjA9uulMmL
1U92fYA5DAiwNsVKbgeO0q,2FL,会議室1,テーブル オフィス A,w1800xd900xh760,3MZiahnpvCQPXjA9uulMmL
1U92fYA5DAiwNsVKbgeO2Z,2FL,会議室1,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeOUW,2FL,会議室1,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeOL5,2FL,会議室1,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeOL4,2FL,会議室1,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeOMj,2FL,会議室1,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeOMi,2FL,会議室1,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeONj,2FL,会議室1,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeONi,2FL,会議室1,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeOGj,2FL,会議室1,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeOGi,2FL,会議室1,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeOik,2FL,会議室2,テーブル オフィス A,w1800xd600xh760,3MZiahnpvCQPXjA9uulMmN
1U92fYA5DAiwNsVKbgeOkf,2FL,会議室2,テーブル オフィス A,w1800xd600xh760,3MZiahnpvCQPXjA9uulMmN
1U92fYA5DAiwNsVKbgeOlF,2FL,会議室2,テーブル オフィス A,w1800xd600xh760,3MZiahnpvCQPXjA9uulMmN
1U92fYA5DAiwNsVKbgeOhn,2FL,会議室2,テーブル オフィス A,w1800xd600xh760,3MZiahnpvCQPXjA9uulMmN
1U92fYA5DAiwNsVKbgeOhY,2FL,会議室2,テーブル オフィス A,w1800xd600xh760,3MZiahnpvCQPXjA9uulMmN
1U92fYA5DAiwNsVKbgeOax,2FL,会議室2,テーブル オフィス A,w1800xd600xh760,3MZiahnpvCQPXjA9uulMmN
1U92fYA5DAiwNsVKbgeOcu,2FL,会議室2,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeOdZ,2FL,会議室2,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeOWm,2FL,会議室2,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeOX$,2FL,会議室2,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeOYm,2FL,会議室2,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
1U92fYA5DAiwNsVKbgeOp_,2FL,会議室2,椅子 オフィス I,blue,3MZiahnpvCQPXjA9uulMmJ
