IfcGUID,レベル,部屋: 名前,ファミリ,マーク,タイプ IfcGUID,照度,仕様 メーカー,仕様 商品名・銘柄・型番,仕様 規格・寸法,価格,交換日
3bWyfaOdr6FRpicybt$NSI,2FL,ギャラリースペース,システム天井 照明,1370,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$NSH,2FL,ギャラリースペース,システム天井 照明,1371,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$NSG,2FL,ギャラリースペース,システム天井 照明,1372,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$NSV,2FL,ギャラリースペース,システム天井 照明,1373,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$NSU,2FL,ギャラリースペース,システム天井 照明,1374,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$NST,2FL,ギャラリースペース,システム天井 照明,1375,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZB,3FL,事務室,システム天井 照明,1376,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZq,3FL,事務室,システム天井 照明,1377,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZr,3FL,事務室,システム天井 照明,1378,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZs,3FL,事務室,システム天井 照明,1379,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZt,3FL,事務室,システム天井 照明,1380,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZm,3FL,事務室,システム天井 照明,1381,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZn,3FL,事務室,システム天井 照明,1382,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZo,3FL,事務室,システム天井 照明,1383,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZp,3FL,事務室,システム天井 照明,1384,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZy,3FL,事務室,システム天井 照明,1385,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZz,3FL,事務室,システム天井 照明,1386,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZ_,3FL,事務室,システム天井 照明,1387,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZ$,3FL,事務室,システム天井 照明,1388,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZu,3FL,事務室,システム天井 照明,1389,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZv,3FL,事務室,システム天井 照明,1390,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZw,3FL,事務室,システム天井 照明,1391,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZx,3FL,事務室,システム天井 照明,1392,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZa,3FL,事務室,システム天井 照明,1393,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZb,3FL,事務室,システム天井 照明,1394,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZc,3FL,事務室,システム天井 照明,1395,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZd,3FL,事務室,システム天井 照明,1396,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZW,3FL,事務室,システム天井 照明,1397,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZX,3FL,事務室,システム天井 照明,1398,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZY,3FL,事務室,システム天井 照明,1399,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZZ,3FL,事務室,システム天井 照明,1400,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZi,3FL,事務室,システム天井 照明,1401,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZj,3FL,事務室,システム天井 照明,1402,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZk,3FL,事務室,システム天井 照明,1403,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZl,3FL,事務室,システム天井 照明,1404,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZe,3FL,事務室,システム天井 照明,1405,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZf,3FL,事務室,システム天井 照明,1406,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZg,3FL,事務室,システム天井 照明,1407,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
