IfcGUID,レベル,部屋: 名前,ファミリ,マーク,照度,仕様 メーカー,仕様 商品名・銘柄・型番,仕様 規格・寸法,価格,交換日
0LuFMlas932Oj8jqSvsCah,4FL,事務室,システム天井 照明,1484,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdK,4FL,事務室,システム天井 照明,1485,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdL,4FL,事務室,システム天井 照明,1486,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdM,4FL,事務室,システム天井 照明,1487,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdN,4FL,事務室,システム天井 照明,1488,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdG,4FL,事務室,システム天井 照明,1489,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdH,4FL,事務室,システム天井 照明,1490,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdI,4FL,事務室,システム天井 照明,1491,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdJ,4FL,事務室,システム天井 照明,1492,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdS,4FL,事務室,システム天井 照明,1493,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdT,4FL,事務室,システム天井 照明,1494,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdU,4FL,事務室,システム天井 照明,1495,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdV,4FL,事務室,システム天井 照明,1496,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdO,4FL,事務室,システム天井 照明,1497,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdP,4FL,事務室,システム天井 照明,1498,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdQ,4FL,事務室,システム天井 照明,1499,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdR,4FL,事務室,システム天井 照明,1500,12 lx,,,,,
0LuFMlas932Oj8jqSvsCd4,4FL,事務室,システム天井 照明,1501,12 lx,,,,,
0LuFMlas932Oj8jqSvsCd5,4FL,事務室,システム天井 照明,1502,12 lx,,,,,
0LuFMlas932Oj8jqSvsCd6,4FL,事務室,システム天井 照明,1503,12 lx,,,,,
0LuFMlas932Oj8jqSvsCd7,4FL,事務室,システム天井 照明,1504,12 lx,,,,,
0LuFMlas932Oj8jqSvsCd0,4FL,事務室,システム天井 照明,1505,12 lx,,,,,
0LuFMlas932Oj8jqSvsCd1,4FL,事務室,システム天井 照明,1506,12 lx,,,,,
0LuFMlas932Oj8jqSvsCd2,4FL,事務室,システム天井 照明,1507,12 lx,,,,,
0LuFMlas932Oj8jqSvsCd3,4FL,事務室,システム天井 照明,1508,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdC,4FL,事務室,システム天井 照明,1509,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdD,4FL,事務室,システム天井 照明,1510,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdE,4FL,事務室,システム天井 照明,1511,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdF,4FL,事務室,システム天井 照明,1512,12 lx,,,,,
0LuFMlas932Oj8jqSvsCd8,4FL,事務室,システム天井 照明,1513,12 lx,,,,,
0LuFMlas932Oj8jqSvsCd9,4FL,事務室,システム天井 照明,1514,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdA,4FL,事務室,システム天井 照明,1515,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdB,4FL,事務室,システム天井 照明,1516,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdq,4FL,事務室,システム天井 照明,1517,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdr,4FL,事務室,システム天井 照明,1518,12 lx,,,,,
0LuFMlas932Oj8jqSvsCds,4FL,事務室,システム天井 照明,1519,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdt,4FL,事務室,システム天井 照明,1520,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdm,4FL,事務室,システム天井 照明,1521,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdn,4FL,事務室,システム天井 照明,1522,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdo,4FL,事務室,システム天井 照明,1523,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdp,4FL,事務室,システム天井 照明,1524,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdy,4FL,事務室,システム天井 照明,1525,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdz,4FL,事務室,システム天井 照明,1526,12 lx,,,,,
0LuFMlas932Oj8jqSvsCd_,4FL,事務室,システム天井 照明,1527,12 lx,,,,,
0LuFMlas932Oj8jqSvsCd$,4FL,事務室,システム天井 照明,1528,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdu,4FL,事務室,システム天井 照明,1529,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdv,4FL,事務室,システム天井 照明,1530,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdw,4FL,事務室,システム天井 照明,1531,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdx,4FL,事務室,システム天井 照明,1532,12 lx,,,,,
0LuFMlas932Oj8jqSvsCda,4FL,事務室,システム天井 照明,1533,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdb,4FL,事務室,システム天井 照明,1534,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdc,4FL,事務室,システム天井 照明,1535,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdd,4FL,事務室,システム天井 照明,1536,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdW,4FL,事務室,システム天井 照明,1537,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdX,4FL,事務室,システム天井 照明,1538,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdY,4FL,事務室,システム天井 照明,1539,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdZ,4FL,事務室,システム天井 照明,1540,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdi,4FL,事務室,システム天井 照明,1541,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdj,4FL,事務室,システム天井 照明,1542,12 lx,,,,,
0LuFMlas932Oj8jqSvsCdk,4FL,事務室,システム天井 照明,1543,12 lx,,,,,
0LuFMlas932Oj8jqSvsCvx,5FL,事務室,システム天井 照明,1544,12 lx,,,,,
0LuFMlas932Oj8jqSvsCva,5FL,事務室,システム天井 照明,1545,12 lx,,,,,
0LuFMlas932Oj8jqSvsCvb,5FL,事務室,システム天井 照明,1546,12 lx,,,,,
0LuFMlas932Oj8jqSvsCvc,5FL,事務室,システム天井 照明,1547,12 lx,,,,,
0LuFMlas932Oj8jqSvsCvd,5FL,事務室,システム天井 照明,1548,12 lx,,,,,
0LuFMlas932Oj8jqSvsCvW,5FL,事務室,システム天井 照明,1549,12 lx,,,,,
0LuFMlas932Oj8jqSvsCvX,5FL,事務室,システム天井 照明,1550,12 lx,,,,,
0LuFMlas932Oj8jqSvsCvY,5FL,事務室,システム天井 照明,1551,12 lx,,,,,
0LuFMlas932Oj8jqSvsCvZ,5FL,事務室,システム天井 照明,1552,12 lx,,,,,
0LuFMlas932Oj8jqSvsCvi,5FL,事務室,システム天井 照明,1553,12 lx,,,,,
0LuFMlas932Oj8jqSvsCvj,5FL,事務室,システム天井 照明,1554,12 lx,,,,,
0LuFMlas932Oj8jqSvsCvk,5FL,事務室,システム天井 照明,1555,12 lx,,,,,
0LuFMlas932Oj8jqSvsCvl,5FL,事務室,システム天井 照明,1556,12 lx,,,,,
0LuFMlas932Oj8jqSvsCve,5FL,事務室,システム天井 照明,1557,12 lx,,,,,
0LuFMlas932Oj8jqSvsCvf,5FL,事務室,システム天井 照明,1558,12 lx,,,,,
